ID_Vehiculo,Matricula,Categoria_Vehiculo
138,AUT-00138,Autobus
139,AUT-00139,Autobus
140,AUT-00140,Autobus
141,AUT-00141,Autobus
142,AUT-00142,Autobus
143,AUT-00143,Autobus
144,AUT-00144,Autobus
145,AUT-00145,Autobus
146,AUT-00146,Autobus
147,AUT-00147,Autobus
148,AUT-00148,Autobus
149,AUT-00149,Autobus
150,AUT-00150,Autobus
151,AUT-00151,Autobus
152,AUT-00152,Autobus
153,AUT-00153,Autobus
154,AUT-00154,Autobus
155,AUT-00155,Autobus
156,AUT-00156,Autobus
157,AUT-00157,Autobus
158,AUT-00158,Autobus
159,AUT-00159,Autobus
160,AUT-00160,Autobus
161,AUT-00161,Autobus
162,AUT-00162,Autobus
163,AUT-00163,Autobus
164,AUT-00164,Autobus
165,AUT-00165,Autobus
166,AUT-00166,Autobus
167,AUT-00167,Autobus
168,AUT-00168,Autobus
169,AUT-00169,Autobus
170,AUT-00170,Autobus
171,AUT-00171,Autobus
172,AUT-00172,Autobus
173,AUT-00173,Autobus
174,AUT-00174,Autobus
175,AUT-00175,Autobus
176,AUT-00176,Autobus
177,AUT-00177,Autobus
178,AUT-00178,Autobus
179,AUT-00179,Autobus
180,AUT-00180,Autobus
181,AUT-00181,Autobus
182,AUT-00182,Autobus
183,AUT-00183,Autobus
184,AUT-00184,Autobus
185,AUT-00185,Autobus
186,AUT-00186,Autobus
187,AUT-00187,Autobus
188,AUT-00188,Autobus
189,AUT-00189,Autobus
190,AUT-00190,Autobus
191,AUT-00191,Autobus
192,AUT-00192,Autobus
193,AUT-00193,Autobus
194,AUT-00194,Autobus
195,AUT-00195,Autobus
196,AUT-00196,Autobus
197,AUT-00197,Autobus
198,AUT-00198,Autobus
199,AUT-00199,Autobus
200,AUT-00200,Autobus
201,AUT-00201,Autobus
202,AUT-00202,Autobus
203,AUT-00203,Autobus
204,AUT-00204,Autobus
205,AUT-00205,Autobus
206,AUT-00206,Autobus
207,AUT-00207,Autobus
208,AUT-00208,Autobus
209,AUT-00209,Autobus
210,AUT-00210,Autobus
211,AUT-00211,Autobus
212,AUT-00212,Autobus
213,AUT-00213,Autobus
214,AUT-00214,Autobus
215,AUT-00215,Autobus
216,AUT-00216,Autobus
217,AUT-00217,Autobus
218,AUT-00218,Autobus
219,AUT-00219,Autobus
220,AUT-00220,Autobus
221,AUT-00221,Autobus
222,AUT-00222,Autobus
223,AUT-00223,Autobus
224,AUT-00224,Autobus
225,AUT-00225,Autobus
226,AUT-00226,Autobus
227,AUT-00227,Autobus
228,AUT-00228,Autobus
229,AUT-00229,Autobus
230,AUT-00230,Autobus
231,AUT-00231,Autobus
232,AUT-00232,Autobus
233,AUT-00233,Autobus
234,AUT-00234,Autobus
235,AUT-00235,Autobus
236,AUT-00236,Autobus
237,AUT-00237,Autobus
238,AUT-00238,Autobus
239,AUT-00239,Autobus
240,AUT-00240,Autobus
241,AUT-00241,Autobus
242,AUT-00242,Autobus
243,AUT-00243,Autobus
244,AUT-00244,Autobus
245,AUT-00245,Autobus
246,AUT-00246,Autobus
247,AUT-00247,Autobus
248,AUT-00248,Autobus
249,AUT-00249,Autobus
250,AUT-00250,Autobus
251,AUT-00251,Autobus
252,AUT-00252,Autobus
253,AUT-00253,Autobus
254,AUT-00254,Autobus
255,AUT-00255,Autobus
256,AUT-00256,Autobus
257,AUT-00257,Autobus
258,AUT-00258,Autobus
259,AUT-00259,Autobus
260,AUT-00260,Autobus
261,AUT-00261,Autobus
262,AUT-00262,Autobus
263,AUT-00263,Autobus
264,AUT-00264,Autobus
265,AUT-00265,Autobus
266,AUT-00266,Autobus
267,AUT-00267,Autobus
268,AUT-00268,Autobus
269,AUT-00269,Autobus
270,AUT-00270,Autobus
271,AUT-00271,Autobus
272,AUT-00272,Autobus
273,AUT-00273,Autobus
274,AUT-00274,Autobus
275,AUT-00275,Autobus
276,AUT-00276,Autobus
277,AUT-00277,Autobus
278,AUT-00278,Autobus
279,AUT-00279,Autobus
280,AUT-00280,Autobus
281,AUT-00281,Autobus
282,AUT-00282,Autobus
283,AUT-00283,Autobus
284,AUT-00284,Autobus
285,AUT-00285,Autobus
286,AUT-00286,Autobus
287,AUT-00287,Autobus
288,AUT-00288,Autobus
289,AUT-00289,Autobus
290,AUT-00290,Autobus
291,AUT-00291,Autobus
292,AUT-00292,Autobus
293,AUT-00293,Autobus
294,AUT-00294,Autobus
295,AUT-00295,Autobus
296,AUT-00296,Autobus
297,AUT-00297,Autobus
298,AUT-00298,Autobus
299,AUT-00299,Autobus
300,AUT-00300,Autobus
301,AUT-00301,Autobus
302,AUT-00302,Autobus
303,AUT-00303,Autobus
304,AUT-00304,Autobus
305,AUT-00305,Autobus
306,AUT-00306,Autobus
307,AUT-00307,Autobus
308,AUT-00308,Autobus
309,AUT-00309,Autobus
310,AUT-00310,Autobus
311,AUT-00311,Autobus
312,AUT-00312,Autobus
313,AUT-00313,Autobus
314,AUT-00314,Autobus
315,AUT-00315,Autobus
316,AUT-00316,Autobus
317,AUT-00317,Autobus
318,AUT-00318,Autobus
319,AUT-00319,Autobus
320,AUT-00320,Autobus
321,AUT-00321,Autobus
322,AUT-00322,Autobus
323,AUT-00323,Autobus
324,AUT-00324,Autobus
325,AUT-00325,Autobus
326,AUT-00326,Autobus
327,AUT-00327,Autobus
328,AUT-00328,Autobus
329,AUT-00329,Autobus
330,AUT-00330,Autobus
331,AUT-00331,Autobus
332,AUT-00332,Autobus
333,AUT-00333,Autobus
334,AUT-00334,Autobus
335,AUT-00335,Autobus
336,AUT-00336,Autobus
337,AUT-00337,Autobus
338,AUT-00338,Autobus
339,AUT-00339,Autobus
340,AUT-00340,Autobus
341,AUT-00341,Autobus
342,AUT-00342,Autobus
343,AUT-00343,Autobus
344,AUT-00344,Autobus
345,AUT-00345,Autobus
346,AUT-00346,Autobus
347,AUT-00347,Autobus
348,AUT-00348,Autobus
349,AUT-00349,Autobus
350,AUT-00350,Autobus
351,AUT-00351,Autobus
352,AUT-00352,Autobus
353,AUT-00353,Autobus
354,AUT-00354,Autobus
355,AUT-00355,Autobus
356,AUT-00356,Autobus
357,AUT-00357,Autobus
358,AUT-00358,Autobus
359,AUT-00359,Autobus
360,AUT-00360,Autobus
361,AUT-00361,Autobus
362,AUT-00362,Autobus
363,AUT-00363,Autobus
364,AUT-00364,Autobus
365,AUT-00365,Autobus
366,AUT-00366,Autobus
367,AUT-00367,Autobus
368,AUT-00368,Autobus
369,AUT-00369,Autobus
370,AUT-00370,Autobus
371,AUT-00371,Autobus
372,AUT-00372,Autobus
373,AUT-00373,Autobus
374,AUT-00374,Autobus
375,AUT-00375,Autobus
376,AUT-00376,Autobus
377,AUT-00377,Autobus
378,AUT-00378,Autobus
379,AUT-00379,Autobus
380,AUT-00380,Autobus
381,AUT-00381,Autobus
382,AUT-00382,Autobus
383,AUT-00383,Autobus
384,AUT-00384,Autobus
385,AUT-00385,Autobus
386,AUT-00386,Autobus
387,AUT-00387,Autobus
388,AUT-00388,Autobus
389,AUT-00389,Autobus
390,AUT-00390,Autobus
391,AUT-00391,Autobus
392,AUT-00392,Autobus
393,AUT-00393,Autobus
394,AUT-00394,Autobus
395,AUT-00395,Autobus
396,AUT-00396,Autobus
397,AUT-00397,Autobus
398,AUT-00398,Autobus
399,AUT-00399,Autobus
400,AUT-00400,Autobus
401,AUT-00401,Autobus
402,AUT-00402,Autobus
403,AUT-00403,Autobus
404,AUT-00404,Autobus
405,AUT-00405,Autobus
406,AUT-00406,Autobus
407,AUT-00407,Autobus
408,AUT-00408,Autobus
409,AUT-00409,Autobus
410,AUT-00410,Autobus
411,AUT-00411,Autobus
412,AUT-00412,Autobus
413,AUT-00413,Autobus
414,AUT-00414,Autobus
415,AUT-00415,Autobus
416,AUT-00416,Autobus
417,AUT-00417,Autobus
418,AUT-00418,Autobus
419,AUT-00419,Autobus
420,AUT-00420,Autobus
421,AUT-00421,Autobus
422,AUT-00422,Autobus
423,AUT-00423,Autobus
424,AUT-00424,Autobus
425,AUT-00425,Autobus
426,AUT-00426,Autobus
427,AUT-00427,Autobus
428,AUT-00428,Autobus
429,AUT-00429,Autobus
430,AUT-00430,Autobus
431,AUT-00431,Autobus
432,AUT-00432,Autobus
433,AUT-00433,Autobus
434,AUT-00434,Autobus
435,AUT-00435,Autobus
436,AUT-00436,Autobus
437,AUT-00437,Autobus
438,AUT-00438,Autobus
439,AUT-00439,Autobus
440,AUT-00440,Autobus
441,AUT-00441,Autobus
442,AUT-00442,Autobus
443,AUT-00443,Autobus
444,AUT-00444,Autobus
445,AUT-00445,Autobus
446,AUT-00446,Autobus
447,AUT-00447,Autobus
448,AUT-00448,Autobus
449,AUT-00449,Autobus
450,AUT-00450,Autobus
451,AUT-00451,Autobus
452,AUT-00452,Autobus
453,AUT-00453,Autobus
454,AUT-00454,Autobus
455,AUT-00455,Autobus
456,AUT-00456,Autobus
457,AUT-00457,Autobus
458,AUT-00458,Autobus
459,AUT-00459,Autobus
460,AUT-00460,Autobus
461,AUT-00461,Autobus
462,AUT-00462,Autobus
463,AUT-00463,Autobus
464,AUT-00464,Autobus
465,AUT-00465,Autobus
466,AUT-00466,Autobus
467,AUT-00467,Autobus
468,AUT-00468,Autobus
469,AUT-00469,Autobus
470,AUT-00470,Autobus
471,AUT-00471,Autobus
472,AUT-00472,Autobus
473,AUT-00473,Autobus
474,AUT-00474,Autobus
475,AUT-00475,Autobus
476,AUT-00476,Autobus
477,AUT-00477,Autobus
478,AUT-00478,Autobus
479,AUT-00479,Autobus
480,AUT-00480,Autobus
481,AUT-00481,Autobus
482,AUT-00482,Autobus
483,AUT-00483,Autobus
484,AUT-00484,Autobus
485,AUT-00485,Autobus
486,AUT-00486,Autobus
487,AUT-00487,Autobus
488,AUT-00488,Autobus
489,AUT-00489,Autobus
490,AUT-00490,Autobus
491,AUT-00491,Autobus
492,AUT-00492,Autobus
493,AUT-00493,Autobus
494,AUT-00494,Autobus
495,AUT-00495,Autobus
496,AUT-00496,Autobus
497,AUT-00497,Autobus
498,AUT-00498,Autobus
499,AUT-00499,Autobus
500,AUT-00500,Autobus
501,AUT-00501,Autobus
502,AUT-00502,Autobus
503,AUT-00503,Autobus
504,AUT-00504,Autobus
505,AUT-00505,Autobus
506,AUT-00506,Autobus
507,AUT-00507,Autobus
508,AUT-00508,Autobus
509,AUT-00509,Autobus
510,AUT-00510,Autobus
511,AUT-00511,Autobus
512,AUT-00512,Autobus
513,AUT-00513,Autobus
514,AUT-00514,Autobus
515,AUT-00515,Autobus
516,AUT-00516,Autobus
517,AUT-00517,Autobus
518,AUT-00518,Autobus
519,AUT-00519,Autobus
520,AUT-00520,Autobus
521,AUT-00521,Autobus
522,AUT-00522,Autobus
523,AUT-00523,Autobus
524,AUT-00524,Autobus
525,AUT-00525,Autobus
526,AUT-00526,Autobus
527,AUT-00527,Autobus
528,AUT-00528,Autobus
529,AUT-00529,Autobus
530,AUT-00530,Autobus
531,AUT-00531,Autobus
532,AUT-00532,Autobus
533,AUT-00533,Autobus
534,AUT-00534,Autobus
535,AUT-00535,Autobus
536,AUT-00536,Autobus
537,AUT-00537,Autobus
538,AUT-00538,Autobus
539,AUT-00539,Autobus
540,AUT-00540,Autobus
541,AUT-00541,Autobus
542,AUT-00542,Autobus
543,AUT-00543,Autobus
544,AUT-00544,Autobus
545,AUT-00545,Autobus
546,AUT-00546,Autobus
547,AUT-00547,Autobus
548,AUT-00548,Autobus
549,AUT-00549,Autobus
550,AUT-00550,Autobus
551,AUT-00551,Autobus
552,AUT-00552,Autobus
553,AUT-00553,Autobus
554,AUT-00554,Autobus
555,AUT-00555,Autobus
556,AUT-00556,Autobus
557,AUT-00557,Autobus
558,AUT-00558,Autobus
559,AUT-00559,Autobus
560,AUT-00560,Autobus
561,AUT-00561,Autobus
562,AUT-00562,Autobus
563,AUT-00563,Autobus
564,AUT-00564,Autobus
565,AUT-00565,Autobus
566,AUT-00566,Autobus
567,AUT-00567,Autobus
568,AUT-00568,Autobus
569,AUT-00569,Autobus
570,AUT-00570,Autobus
571,AUT-00571,Autobus
572,AUT-00572,Autobus
573,AUT-00573,Autobus
574,AUT-00574,Autobus
575,AUT-00575,Autobus
576,AUT-00576,Autobus
577,AUT-00577,Autobus
578,AUT-00578,Autobus
579,AUT-00579,Autobus
580,AUT-00580,Autobus
581,AUT-00581,Autobus
582,AUT-00582,Autobus
583,AUT-00583,Autobus
584,AUT-00584,Autobus
585,AUT-00585,Autobus
586,AUT-00586,Autobus
587,AUT-00587,Autobus
588,AUT-00588,Autobus
589,AUT-00589,Autobus
590,AUT-00590,Autobus
591,AUT-00591,Autobus
592,AUT-00592,Autobus
593,AUT-00593,Autobus
594,AUT-00594,Autobus
595,AUT-00595,Autobus
596,AUT-00596,Autobus
597,AUT-00597,Autobus
598,AUT-00598,Autobus
599,AUT-00599,Autobus
600,AUT-00600,Autobus
601,AUT-00601,Autobus
602,AUT-00602,Autobus
603,AUT-00603,Autobus
604,AUT-00604,Autobus
605,AUT-00605,Autobus
606,AUT-00606,Autobus
607,AUT-00607,Autobus
608,AUT-00608,Autobus
609,AUT-00609,Autobus
610,AUT-00610,Autobus
611,AUT-00611,Autobus
612,AUT-00612,Autobus
613,AUT-00613,Autobus
614,AUT-00614,Autobus
615,AUT-00615,Autobus
616,AUT-00616,Autobus
617,AUT-00617,Autobus
618,AUT-00618,Autobus
619,AUT-00619,Autobus
620,AUT-00620,Autobus
621,AUT-00621,Autobus
622,AUT-00622,Autobus
623,AUT-00623,Autobus
624,AUT-00624,Autobus
625,AUT-00625,Autobus
626,AUT-00626,Autobus
627,AUT-00627,Autobus
628,AUT-00628,Autobus
629,AUT-00629,Autobus
630,AUT-00630,Autobus
631,AUT-00631,Autobus
632,AUT-00632,Autobus
633,AUT-00633,Autobus
634,AUT-00634,Autobus
635,AUT-00635,Autobus
636,AUT-00636,Autobus
637,AUT-00637,Autobus
638,AUT-00638,Autobus
639,AUT-00639,Autobus
640,AUT-00640,Autobus
641,AUT-00641,Autobus
642,AUT-00642,Autobus
643,AUT-00643,Autobus
644,AUT-00644,Autobus
645,AUT-00645,Autobus
646,AUT-00646,Autobus
647,AUT-00647,Autobus
648,AUT-00648,Autobus
649,AUT-00649,Autobus
650,AUT-00650,Autobus
651,AUT-00651,Autobus
652,AUT-00652,Autobus
653,AUT-00653,Autobus
654,AUT-00654,Autobus
655,AUT-00655,Autobus
656,AUT-00656,Autobus
657,AUT-00657,Autobus
658,AUT-00658,Autobus
659,AUT-00659,Autobus
660,AUT-00660,Autobus
661,AUT-00661,Autobus
662,AUT-00662,Autobus
663,AUT-00663,Autobus
664,AUT-00664,Autobus
665,AUT-00665,Autobus
666,AUT-00666,Autobus
667,AUT-00667,Autobus
668,AUT-00668,Autobus
669,AUT-00669,Autobus
670,AUT-00670,Autobus
671,AUT-00671,Autobus
672,AUT-00672,Autobus
673,AUT-00673,Autobus
674,AUT-00674,Autobus
675,AUT-00675,Autobus
676,AUT-00676,Autobus
677,AUT-00677,Autobus
678,AUT-00678,Autobus
679,AUT-00679,Autobus
680,AUT-00680,Autobus
681,AUT-00681,Autobus
682,AUT-00682,Autobus
683,AUT-00683,Autobus
684,AUT-00684,Autobus
685,AUT-00685,Autobus
686,AUT-00686,Autobus
687,AUT-00687,Autobus
688,AUT-00688,Autobus
689,AUT-00689,Autobus
690,AUT-00690,Autobus
691,AUT-00691,Autobus
692,AUT-00692,Autobus
693,AUT-00693,Autobus
694,AUT-00694,Autobus
695,AUT-00695,Autobus
696,AUT-00696,Autobus
697,AUT-00697,Autobus
698,AUT-00698,Autobus
699,AUT-00699,Autobus
700,AUT-00700,Autobus
701,AUT-00701,Autobus
702,AUT-00702,Autobus
703,AUT-00703,Autobus
704,AUT-00704,Autobus
705,AUT-00705,Autobus
706,AUT-00706,Autobus
707,AUT-00707,Autobus
708,AUT-00708,Autobus
709,AUT-00709,Autobus
710,AUT-00710,Autobus
711,AUT-00711,Autobus
712,AUT-00712,Autobus
713,AUT-00713,Autobus
714,AUT-00714,Autobus
715,AUT-00715,Autobus
716,AUT-00716,Autobus
717,AUT-00717,Autobus
718,AUT-00718,Autobus
719,AUT-00719,Autobus
720,AUT-00720,Autobus
721,AUT-00721,Autobus
722,AUT-00722,Autobus
723,AUT-00723,Autobus
724,AUT-00724,Autobus
725,AUT-00725,Autobus
726,AUT-00726,Autobus
727,AUT-00727,Autobus
728,AUT-00728,Autobus
729,AUT-00729,Autobus
730,AUT-00730,Autobus
731,AUT-00731,Autobus
732,AUT-00732,Autobus
733,AUT-00733,Autobus
734,AUT-00734,Autobus
735,AUT-00735,Autobus
736,AUT-00736,Autobus
737,AUT-00737,Autobus
738,AUT-00738,Autobus
739,AUT-00739,Autobus
740,AUT-00740,Autobus
741,AUT-00741,Autobus
742,AUT-00742,Autobus
743,AUT-00743,Autobus
744,AUT-00744,Autobus
745,AUT-00745,Autobus
746,AUT-00746,Autobus
747,AUT-00747,Autobus
748,AUT-00748,Autobus
749,AUT-00749,Autobus
750,AUT-00750,Autobus
751,AUT-00751,Autobus
752,AUT-00752,Autobus
753,AUT-00753,Autobus
754,AUT-00754,Autobus
755,AUT-00755,Autobus
756,AUT-00756,Autobus
757,AUT-00757,Autobus
758,AUT-00758,Autobus
759,AUT-00759,Autobus
760,AUT-00760,Autobus
761,AUT-00761,Autobus
762,AUT-00762,Autobus
763,AUT-00763,Autobus
764,AUT-00764,Autobus
765,AUT-00765,Autobus
766,AUT-00766,Autobus
767,AUT-00767,Autobus
768,AUT-00768,Autobus
769,AUT-00769,Autobus
770,AUT-00770,Autobus
771,AUT-00771,Autobus
772,AUT-00772,Autobus
773,AUT-00773,Autobus
774,AUT-00774,Autobus
775,AUT-00775,Autobus
776,AUT-00776,Autobus
777,AUT-00777,Autobus
778,AUT-00778,Autobus
779,AUT-00779,Autobus
780,AUT-00780,Autobus
781,AUT-00781,Autobus
782,AUT-00782,Autobus
783,AUT-00783,Autobus
784,AUT-00784,Autobus
785,AUT-00785,Autobus
786,AUT-00786,Autobus
787,AUT-00787,Autobus
788,AUT-00788,Autobus
789,AUT-00789,Autobus
790,AUT-00790,Autobus
791,AUT-00791,Autobus
792,AUT-00792,Autobus
793,AUT-00793,Autobus
794,AUT-00794,Autobus
795,AUT-00795,Autobus
796,AUT-00796,Autobus
797,AUT-00797,Autobus
798,AUT-00798,Autobus
799,AUT-00799,Autobus
800,AUT-00800,Autobus
801,AUT-00801,Autobus
802,AUT-00802,Autobus
803,AUT-00803,Autobus
804,AUT-00804,Autobus
805,AUT-00805,Autobus
806,AUT-00806,Autobus
807,AUT-00807,Autobus
808,AUT-00808,Autobus
809,AUT-00809,Autobus
810,AUT-00810,Autobus
811,AUT-00811,Autobus
812,AUT-00812,Autobus
813,AUT-00813,Autobus
814,AUT-00814,Autobus
815,AUT-00815,Autobus
816,AUT-00816,Autobus
817,AUT-00817,Autobus
818,AUT-00818,Autobus
819,AUT-00819,Autobus
820,AUT-00820,Autobus
821,AUT-00821,Autobus
822,AUT-00822,Autobus
823,AUT-00823,Autobus
824,AUT-00824,Autobus
825,AUT-00825,Autobus
826,AUT-00826,Autobus
827,AUT-00827,Autobus
828,AUT-00828,Autobus
829,AUT-00829,Autobus
830,AUT-00830,Autobus
831,AUT-00831,Autobus
832,AUT-00832,Autobus
833,AUT-00833,Autobus
834,AUT-00834,Autobus
835,AUT-00835,Autobus
836,AUT-00836,Autobus
837,AUT-00837,Autobus
838,AUT-00838,Autobus
839,AUT-00839,Autobus
840,AUT-00840,Autobus
841,AUT-00841,Autobus
842,AUT-00842,Autobus
843,AUT-00843,Autobus
844,AUT-00844,Autobus
845,AUT-00845,Autobus
846,AUT-00846,Autobus
847,AUT-00847,Autobus
848,AUT-00848,Autobus
849,AUT-00849,Autobus
850,AUT-00850,Autobus
851,AUT-00851,Autobus
852,AUT-00852,Autobus
853,AUT-00853,Autobus
854,AUT-00854,Autobus
855,AUT-00855,Autobus
856,AUT-00856,Autobus
857,AUT-00857,Autobus
858,AUT-00858,Autobus
859,AUT-00859,Autobus
860,AUT-00860,Autobus
861,AUT-00861,Autobus
862,AUT-00862,Autobus
863,AUT-00863,Autobus
864,AUT-00864,Autobus
865,AUT-00865,Autobus
866,AUT-00866,Autobus
867,AUT-00867,Autobus
868,AUT-00868,Autobus
869,AUT-00869,Autobus
870,AUT-00870,Autobus
871,AUT-00871,Autobus
872,AUT-00872,Autobus
873,AUT-00873,Autobus
874,AUT-00874,Autobus
875,AUT-00875,Autobus
876,AUT-00876,Autobus
877,AUT-00877,Autobus
878,AUT-00878,Autobus
879,AUT-00879,Autobus
880,AUT-00880,Autobus
881,AUT-00881,Autobus
882,AUT-00882,Autobus
883,AUT-00883,Autobus
884,AUT-00884,Autobus
885,AUT-00885,Autobus
886,AUT-00886,Autobus
887,AUT-00887,Autobus
888,AUT-00888,Autobus
889,AUT-00889,Autobus
890,AUT-00890,Autobus
891,AUT-00891,Autobus
892,AUT-00892,Autobus
893,AUT-00893,Autobus
894,AUT-00894,Autobus
895,AUT-00895,Autobus
896,AUT-00896,Autobus
897,AUT-00897,Autobus
898,AUT-00898,Autobus
899,AUT-00899,Autobus
900,AUT-00900,Autobus
901,AUT-00901,Autobus
902,AUT-00902,Autobus
903,AUT-00903,Autobus
904,AUT-00904,Autobus
905,AUT-00905,Autobus
906,AUT-00906,Autobus
907,AUT-00907,Autobus
908,AUT-00908,Autobus
909,AUT-00909,Autobus
910,AUT-00910,Autobus
911,AUT-00911,Autobus
912,AUT-00912,Autobus
913,AUT-00913,Autobus
914,AUT-00914,Autobus
915,AUT-00915,Autobus
916,AUT-00916,Autobus
917,AUT-00917,Autobus
918,AUT-00918,Autobus
919,AUT-00919,Autobus
920,AUT-00920,Autobus
921,AUT-00921,Autobus
922,AUT-00922,Autobus
923,AUT-00923,Autobus
924,AUT-00924,Autobus
925,AUT-00925,Autobus
926,AUT-00926,Autobus
927,AUT-00927,Autobus
928,AUT-00928,Autobus
929,AUT-00929,Autobus
930,AUT-00930,Autobus
931,AUT-00931,Autobus
932,AUT-00932,Autobus
933,AUT-00933,Autobus
934,AUT-00934,Autobus
935,AUT-00935,Autobus
936,AUT-00936,Autobus
937,AUT-00937,Autobus
938,AUT-00938,Autobus
939,AUT-00939,Autobus
940,AUT-00940,Autobus
941,AUT-00941,Autobus
942,AUT-00942,Autobus
943,AUT-00943,Autobus
944,AUT-00944,Autobus
945,AUT-00945,Autobus
946,AUT-00946,Autobus
947,AUT-00947,Autobus
948,AUT-00948,Autobus
949,AUT-00949,Autobus
950,AUT-00950,Autobus
951,AUT-00951,Autobus
952,AUT-00952,Autobus
953,AUT-00953,Autobus
954,AUT-00954,Autobus
955,AUT-00955,Autobus
956,AUT-00956,Autobus
957,AUT-00957,Autobus
958,AUT-00958,Autobus
959,AUT-00959,Autobus
960,AUT-00960,Autobus
961,AUT-00961,Autobus
962,AUT-00962,Autobus
963,AUT-00963,Autobus
964,AUT-00964,Autobus
965,AUT-00965,Autobus
966,AUT-00966,Autobus
967,AUT-00967,Autobus
968,AUT-00968,Autobus
969,AUT-00969,Autobus
970,AUT-00970,Autobus
971,AUT-00971,Autobus
972,AUT-00972,Autobus
973,AUT-00973,Autobus
974,AUT-00974,Autobus
975,AUT-00975,Autobus
976,AUT-00976,Autobus
977,AUT-00977,Autobus
978,AUT-00978,Autobus
979,AUT-00979,Autobus
980,AUT-00980,Autobus
981,AUT-00981,Autobus
982,AUT-00982,Autobus
983,AUT-00983,Autobus
984,AUT-00984,Autobus
985,AUT-00985,Autobus
986,AUT-00986,Autobus
987,AUT-00987,Autobus
988,AUT-00988,Autobus
989,AUT-00989,Autobus
990,AUT-00990,Autobus
991,AUT-00991,Autobus
992,AUT-00992,Autobus
993,AUT-00993,Autobus
994,AUT-00994,Autobus
995,AUT-00995,Autobus
996,AUT-00996,Autobus
